Date	Blues	Reds
17.09.19	7	10
17.09.19	10	6
20.09.19	2	10
20.09.19	5	10
23.09.19	8	10
23.09.19	8	10
23.09.19	12	10
15.10.19	7	10
15.10.19	10	7
15.10.19	9	11
17.10.19	2	10
17.10.19	10	4
22.10.19	11	9
22.10.19	5	10
22.10.19	10	5
25.10.19	8	10
25.10.19	5	10
29.10.19	4	10
29.10.19	3	10
30.10.19	13	15
01.11.19	7	10
01.11.19	7	10
06.11.19	4	10
06.11.19	5	10
11.11.19	7	10
11.11.19	8	10
12.11.19	3	10
14.11.19	9	11
15.11.19	10	12
18.11.19	10	8
18.11.19	5	10
27.11.19	10	7
27.11.19	3	10
03.12.19	10	8
03.12.19	10	8
03.12.19	11	9
13.12.19	10	12
13.12.19	10	8
13.12.19	10	12
06.01.20	5	10
06.01.20	3	10
09.01.20	8	10
09.01.20	10	8
14.01.20	8	10
14.01.20	10	7
10.02.20	6	10
11.02.20	11	9
14.02.20	8	10
20.02.20	13	15
20.02.20	5	10
24.02.20	12	10
25.02.20	2	10
25.02.20	3	10
28.02.20	9	11
28.02.20	10	5
09.03.20	6	10
11.03.20	8	10
13.03.20	10	8
27.05.20	7	10
18.06.20	10	4
18.06.20	10	7
19.06.20	1	10
11.08.20	6	10
11.08.20	13	11
12.08.20	10	8
12.08.20	10	7
12.08.20	8	10
12.08.20	7	10
13.08.20	3	10
13.08.20	10	0
13.08.20	11	9
13.08.20	6	10
17.08.20	4	10
17.08.20	8	10
17.08.20	8	10
21.08.20	10	3
21.08.20	5	10
21.08.20	7	10
26.08.20	6	10
26.08.20	10	8
26.08.20	13	11
31.08.20	7	10
31.08.20	11	13
31.08.20	6	10
02.09.20	8	10
02.09.20	10	6
02.09.20	9	11
03.09.20	6	10
03.09.20	5	10
04.09.20	10	6
04.09.20	10	4
08.09.20	2	10
08.09.20	8	10
16.09.20	4	10
16.09.20	10	6
16.09.20	10	6
16.09.20	6	10
21.09.20	10	6
21.09.20	3	10
21.09.20	10	2
22.09.20	7	10
22.09.20	4	10
23.09.20	8	10
23.09.20	8	10
23.09.20	10	12
06.10.20	3	10
06.10.20	6	10
07.10.20	7	10
08.10.20	8	10
08.10.20	11	9
12.10.20	5	10
12.10.20	8	10
12.10.20	10	12
12.10.20	9	11
16.10.20	10	7
20.10.20	5	10
20.10.20	6	10
21.10.20	10	12
23.10.20	4	10
23.10.20	8	10
27.10.20	6	10
28.10.20	3	10
29.10.20	7	10
29.10.20	4	10
30.10.20	6	10
30.10.20	10	8
02.11.20	10	5
02.11.20	10	7
02.11.20	10	5
03.11.20	10	7
04.11.20	10	8
04.11.20	4	10
04.11.20	3	10
05.11.20	10	6
09.11.20	5	10
17.11.20	9	11
17.11.20	10	2
18.11.20	8	10
18.11.20	6	10
18.11.20	6	10
19.11.20	5	10
19.11.20	10	7
20.11.20	8	10
24.11.20	11	9
